ID       T PRJ PIPELINE        CAMPAIGN       RUN                         BLOCK                          SUBBLOCK        STAT (H/P/R/T)    OPERATOR SUBMITSITE RUNSITE                       
==========================================================================================================================================================================
2021342    DEC finalcut        Y5A1_taiga     D00909799_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2021757    DEC finalcut        Y5A1_taiga     D00922633_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2021931    DEC finalcut        Y5A1_taiga     D00922653_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022021    DEC finalcut        Y5A1_taiga     D00922665_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022061    DEC finalcut        Y5A1_taiga     D00922671_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022329    DEC finalcut        Y5A1_taiga     D00922716_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022390    DEC finalcut        Y5A1_taiga     D00922727_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022564    DEC finalcut        Y5A1_taiga     D00922754_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022623    DEC finalcut        Y5A1_taiga     D00922762_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2022717    DEC finalcut        Y5A1_taiga     D00922773_r5844p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025368    DEC finalcut        Y5A1_taiga     D00922782_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025374    DEC finalcut        Y5A1_taiga     D00922784_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025380    DEC finalcut        Y5A1_taiga     D00922953_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025387    DEC finalcut        Y5A1_taiga     D00922954_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025392    DEC finalcut        Y5A1_taiga     D00922956_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025399    DEC finalcut        Y5A1_taiga     D00922961_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025405    DEC finalcut        Y5A1_taiga     D00922962_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025411    DEC finalcut        Y5A1_taiga     D00922966_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025415    DEC finalcut        Y5A1_taiga     D00922974_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025425    DEC finalcut        Y5A1_taiga     D00922975_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025431    DEC finalcut        Y5A1_taiga     D00922976_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025437    DEC finalcut        Y5A1_taiga     D00922977_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025446    DEC finalcut        Y5A1_taiga     D00922978_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025453    DEC finalcut        Y5A1_taiga     D00922983_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025459    DEC finalcut        Y5A1_taiga     D00922984_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025465    DEC finalcut        Y5A1_taiga     D00922985_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025471    DEC finalcut        Y5A1_taiga     D00922986_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025477    DEC finalcut        Y5A1_taiga     D00922987_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025483    DEC finalcut        Y5A1_taiga     D00922988_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025489    DEC finalcut        Y5A1_taiga     D00922989_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025495    DEC finalcut        Y5A1_taiga     D00922990_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025507    DEC finalcut        Y5A1_taiga     D00922994_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025513    DEC finalcut        Y5A1_taiga     D00922995_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025519    DEC finalcut        Y5A1_taiga     D00922996_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025525    DEC finalcut        Y5A1_taiga     D00922997_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025531    DEC finalcut        Y5A1_taiga     D00922998_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025537    DEC finalcut        Y5A1_taiga     D00922999_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025543    DEC finalcut        Y5A1_taiga     D00923001_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025549    DEC finalcut        Y5A1_taiga     D00923002_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025555    DEC finalcut        Y5A1_taiga     D00923003_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025561    DEC finalcut        Y5A1_taiga     D00923009_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025567    DEC finalcut        Y5A1_taiga     D00923012_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
2025573    DEC finalcut        Y5A1_taiga     D00923013_r5846p01          se                             0001            RUN               madamow  decasub    descampuscluster
